,Length(km),Width(km),Depth(km),Strike(deg),Dip(deg),Rake(deg),Slip(m),Lat(deg),Lon(deg),number,x,y,Model strike,Model dip
86,20.0,5.0,7.5,235.257,74.75,1.3940000000000001,1.545,19.441655025157498,-78.66979033909145,87,20.0,5.0,77.0,90.0
87,20.0,5.0,7.5,114.323,83.45200000000001,171.77200000000002,1.868,19.481656062128728,-78.48480809640512,88,40.0,5.0,77.0,90.0
88,20.0,5.0,7.5,103.98700000000001,85.405,176.768,2.79,19.522654100155684,-78.29883447930801,89,60.0,5.0,77.0,90.0
89,20.0,5.0,7.5,100.036,87.13600000000001,177.75,3.227,19.56365513832112,-78.11285392309287,90,80.0,5.0,77.0,90.0
90,20.0,5.0,7.5,95.67,86.794,177.86900000000003,2.859,19.6036561756862,-77.9268798521842,91,100.0,5.0,77.0,90.0
91,20.0,5.0,7.5,96.615,87.14200000000001,178.33900000000003,2.0140000000000002,19.644656214117976,-77.7419054125007,92,120.0,5.0,77.0,90.0
92,20.0,5.0,2.5,75.572,89.689,1.131,3.3110000000000004,18.74965440629984,-81.82740348766757,93,-320.0,10.0,77.0,90.0
93,20.0,5.0,2.5,76.84100000000001,89.336,1.419,4.687,18.790655441863336,-81.64142882728376,94,-300.0,10.0,77.0,90.0
94,20.0,5.0,2.5,78.098,88.697,0.804,5.5120000000000005,18.83065447669295,-81.45544567681749,95,-280.0,10.0,77.0,90.0
95,20.0,5.0,2.5,78.539,89.096,0.469,5.263,18.871654512532523,-81.27047013047364,96,-260.0,10.0,77.0,90.0
96,20.0,5.0,2.5,79.59100000000001,89.20700000000001,1.119,4.949,18.91265554851281,-81.08448864277743,97,-240.0,10.0,77.0,90.0
97,20.0,5.0,2.5,80.298,89.024,0.727,4.8919999999999995,18.952654583748256,-80.89851366096717,98,-220.0,10.0,77.0,90.0
98,20.0,5.0,2.5,79.024,88.75200000000001,-0.47600000000000003,4.111000000000001,18.993654620003078,-80.71253928769394,99,-200.0,10.0,77.0,90.0
99,20.0,5.0,2.5,80.41199999999999,88.976,-0.7759999999999999,4.478,19.034654656396967,-80.52755697271552,100,-180.0,10.0,77.0,90.0
100,20.0,5.0,2.5,82.20200000000001,88.589,-0.799,5.611000000000001,19.075655692930514,-80.34158271665387,101,-160.0,10.0,77.0,90.0
101,20.0,5.0,2.5,82.686,89.353,-0.8590000000000001,5.119,19.115654728704715,-80.15560796107208,102,-140.0,10.0,77.0,90.0
102,20.0,5.0,2.5,265.103,89.986,0.7090000000000001,6.78,19.156654765510787,-79.9696258199508,103,-120.0,10.0,77.0,90.0
103,20.0,5.0,2.5,264.453,89.73100000000001,0.568,6.852,19.19765480245486,-79.78465073739027,104,-100.0,10.0,77.0,90.0
104,20.0,5.0,2.5,263.496,89.391,-0.325,7.193,19.23765383862972,-79.59866915180686,105,-80.0,10.0,77.0,90.0
105,20.0,5.0,2.5,262.278,88.45,-0.145,7.261,19.278654875846588,-79.41269518569898,106,-60.0,10.0,77.0,90.0
106,20.0,5.0,2.5,262.165,87.419,-0.862,6.694,19.319654913199784,-79.22672127779204,107,-40.0,10.0,77.0,90.0
107,20.0,5.0,2.5,262.051,86.205,-1.47,5.372999999999999,19.359653949773023,-79.0417378627927,108,-20.0,10.0,77.0,90.0
108,20.0,5.0,2.5,257.258,83.134,-1.932,3.513,19.4006549873975,-78.85576407174216,109,0.0,10.0,77.0,90.0
109,20.0,5.0,2.5,235.477,74.55199999999999,1.4240000000000002,1.652,19.441655025157498,-78.66979033909145,110,20.0,10.0,77.0,90.0
110,20.0,5.0,2.5,113.32799999999999,83.399,172.09799999999998,2.039,19.481656062128728,-78.48480809640512,111,40.0,10.0,77.0,90.0
111,20.0,5.0,2.5,103.73700000000001,85.45100000000001,176.84599999999998,3.0439999999999996,19.522654100155684,-78.29883447930801,112,60.0,10.0,77.0,90.0
112,20.0,5.0,2.5,99.76100000000001,87.18299999999999,177.80900000000003,3.523,19.56365513832112,-78.11285392309287,113,80.0,10.0,77.0,90.0
113,20.0,5.0,2.5,95.72200000000001,86.814,177.967,3.095,19.6036561756862,-77.9268798521842,114,100.0,10.0,77.0,90.0
114,20.0,5.0,2.5,96.09,87.234,178.347,2.241,19.644656214117976,-77.7419054125007,115,120.0,10.0,77.0,90.0
